,name,acres,NAME,Shape_Area,Shape_Are,geometry,area_joined,tab_share
0,Pass Arboretum,11.068233543208857,Tipp Hill,2510490.0,2510489.02746,"POLYGON ((403113.2914139376 4766465.298367394, 403086.9740773676 4766245.332086994, 402887.9982766642 4766236.370795134, 402827.256223488 4766355.143213413, 402936.7213697754 4766409.799800531, 402941.0297289714 4766401.157034936, 403104.5617757948 4766482.810013322, 403113.2914139376 4766465.298367394))",44791.591596670194,0.017841779472738153
1,Burnet Park,86.95908127710491,Tipp Hill,2510490.0,2510489.02746,"MULTIPOLYGON (((404121.3366166959 4766533.182223212, 404182.9548827336 4766445.242357885, 404096.7220979886 4766395.723737596, 404050.6710885856 4766369.279378773, 404036.6386783982 4766448.171092886, 403985.9836702714 4766495.542327462, 403934.168053329 4766554.059455093, 403959.7729704743 4766553.220847836, 404005.4032737918 4766526.612098102, 404094.679003422 4766571.187989656, 404121.3366166959 4766533.182223212)), ((403735.779805543 4766159.264750469, 403659.790716809 4766066.751841779, 403626.4725267708 4766046.594036242, 403605.2486673227 4765931.445153061, 403652.0798961186 4765862.406150687, 403602.8158998514 4765843.339504227, 403623.6162341486 4765804.202244427, 403651.2844892235 4765814.108397145, 403678.4513808052 4765831.979414603, 403718.8175244579 4765846.939511213, 403740.3106407884 4765850.833532648, 403801.2389003378 4765840.315076461, 403812.6376219862 4765831.734223751, 403839.6092233172 4765820.548280919, 403882.6186719307 4765826.07406905, 403902.8266169044 4765827.627912955, 403931.4565939608 4765836.282663679, 403932.7307094343 4765791.089109202, 403646.9664465569 4765741.872640752, 403573.6113453606 4765711.396207321, 403373.7565108318 4765593.854709319, 403341.3429912998 4765579.721463406, 403296.8827956576 4765567.722915812, 403229.6922153289 4765559.853169425, 403252.3506570305 4765583.312458461, 403162.0641650131 4765944.478985162, 403104.8546839764 4766225.479839539, 403234.1566417991 4766233.96640105, 403270.9735057256 4766159.904918274, 403868.1578061507 4766458.084315981, 403883.0802407864 4766428.196667455, 403781.9328526436 4766377.693028037, 403773.7536914314 4766373.609140908, 403751.2906926229 4766313.809084829, 403686.3943485781 4766281.730616974, 403685.9222340038 4766258.971845822, 403752.7819202112 4766174.295344483, 403735.779805543 4766159.264750469)))",351911.2276570648,0.14017636556376936
2,Rosamond Gifford Zoo,44.555861898830365,Tipp Hill,2510490.0,2510489.02746,"POLYGON ((403903.3918404272 4766085.531726951, 404054.0552803433 4765811.98459734, 403932.7307094343 4765791.089109202, 403931.4565939608 4765836.282663679, 403902.8266169044 4765827.627912955, 403882.6186719307 4765826.07406905, 403839.6092233172 4765820.548280919, 403812.6376219862 4765831.734223751, 403801.2389003378 4765840.315076461, 403740.3106407884 4765850.833532648, 403718.8175244579 4765846.939511213, 403678.4513808052 4765831.979414603, 403651.2844892235 4765814.108397145, 403623.6162341486 4765804.202244427, 403602.8158998514 4765843.339504227, 403652.0798961186 4765862.406150687, 403605.2486673227 4765931.445153061, 403626.4725267708 4766046.594036242, 403659.790716809 4766066.751841779, 403735.779805543 4766159.264750469, 403752.7819202112 4766174.295344483, 403685.9222340038 4766258.971845822, 403686.3943485781 4766281.730616974, 403751.2906926229 4766313.809084829, 403773.7536914314 4766373.609140908, 403781.9328526436 4766377.693028037, 403883.0802407864 4766428.196667455, 403868.1769758834 4766458.045655844, 403868.1578061507 4766458.084315981, 403874.7746418465 4766461.388095204, 403870.8047624875 4766493.421791513, 403881.537690036 4766523.008268287, 403904.8624008662 4766544.535945047, 403934.168053329 4766554.059455093, 403985.9836702714 4766495.542327462, 404036.6386783982 4766448.171092886, 404050.6560715095 4766369.363258869, 404050.6710885856 4766369.279378773, 403988.5767372989 4766333.622240075, 404001.4401932356 4766311.136166412, 403918.1227113843 4766263.467428802, 403903.3918404272 4766085.531726951))",180311.33528390067,0.07182319194054856
3,City Of Syracuse-Fowler,14.473133607398323,Tipp Hill,2510490.0,2510489.02746,"POLYGON ((404466.8198527144 4766410.395480774, 404467.1038577668 4766404.750351185, 404467.5777719436 4766395.33008071, 404602.5892726229 4766401.630541143, 404596.8735147139 4766292.98649725, 404582.7488501822 4766246.334675984, 404551.7928675257 4766144.091101397, 404387.5892789735 4766136.715416466, 404384.2224499589 4766237.349844464, 404381.7381235797 4766285.979969596, 404344.6484560442 4766421.865579506, 404340.59208458 4766436.764949158, 404465.1779419327 4766443.032940405, 404466.8198527144 4766410.395480774))",58570.74547043598,0.023330412851752323
4,City Of Syracuse-Shea Jr,1.6737668454500358,Strathmore,2465760.0,2465760.5157,"POLYGON ((404344.6695108602 4764937.294541528, 404260.8300700637 4764934.358908351, 404257.4888841369 4765014.739474037, 404341.9402686483 4765017.696532893, 404344.6695108602 4764937.294541528))",6773.500096177932,0.0027470226946411367
5,City Of Syracuse-Corcoran,17.87280864656805,Strathmore,2465760.0,2465760.5157,"POLYGON ((404296.9480638687 4763635.542845042, 404292.2576496268 4763597.2035736, 404314.9431340483 4763594.428145076, 404337.6286168214 4763591.652716941, 404343.8535123498 4763590.891149489, 404368.46633244 4763593.050559137, 404391.2334964641 4763595.04805769, 404414.0006585229 4763597.045536449, 404436.7678388503 4763599.043034041, 404460.299964481 4763601.107628818, 404466.5347363412 4763446.47075466, 404573.5165435143 4763437.518512481, 404573.9782385434 4763427.094619855, 404574.0186822018 4763426.181325087, 404577.3513352222 4763350.938717054, 404579.3872072197 4763304.973518799, 404579.2325498011 4763304.979234738, 404551.6224023431 4763306.010242195, 404497.6819660949 4763308.004539264, 404440.0413013471 4763310.135611186, 404424.9126023455 4763310.682700861, 404424.9126021329 4763310.682700869, 404400.5741289153 4763311.582219433, 404242.9985900209 4763393.447345121, 404173.7278265945 4763429.681690294, 404212.8742777858 4763471.275663225, 404219.8500360782 4763476.720380667, 404227.6998359116 4763482.75536993, 404230.3897432097 4763485.19925005, 404231.0938600806 4763485.822958574, 404270.8280836174 4763463.25288659, 404303.6717866816 4763521.076084975, 404268.5162249152 4763526.834869731, 404251.8502608384 4763582.04601648, 404251.8502608025 4763582.046016599, 404245.9564100386 4763601.600630975, 404245.5597261646 4763602.916748485, 404274.1094047568 4763599.42389058, 404278.7997998014 4763637.763164572, 404296.9480638687 4763635.542845042))",72311.34678697486,0.0293261840825797
6,City Of Syracuse-Bellevue,6.122936599982957,Strathmore,2465760.0,2465760.5157,"POLYGON ((404515.888508421 4764844.588462087, 404368.1162046508 4764839.399822893, 404348.0165082124 4764838.694067252, 404306.4466820853 4764837.234446061, 404305.9125553645 4764850.631998378, 404264.3710068102 4764849.173386277, 404261.5894372899 4764916.090197352, 404260.8300700637 4764934.358908351, 404344.6695108602 4764937.294541528, 404364.7692691664 4764937.998339116, 404365.3895629975 4764919.724785393, 404467.2526707281 4764923.291533649, 404464.6656163503 4764994.042028488, 404510.3649027631 4764995.646606708, 404515.888508421 4764844.588462087))",24778.667209007028,0.010049097246563972
7,City Of Syracuse-Roberts,5.374849576735957,Strathmore,2465760.0,2465760.5157,"POLYGON ((404564.984188224 4763649.065209934, 404566.6052542483 4763608.872925319, 404567.219299691 4763593.648581615, 404567.8333458658 4763578.424237983, 404568.44739276 4763563.199894394, 404569.061440376 4763547.975550879, 404569.6754883605 4763532.751187913, 404570.2895374277 4763517.526844509, 404570.9035872339 4763502.302501158, 404571.5176377509 4763487.078157858, 404572.131688999 4763471.853814633, 404572.7457409765 4763456.629471456, 404573.3597933134 4763441.405108844, 404573.5165435143 4763437.518512481, 404466.5347363412 4763446.47075466, 404460.299964481 4763601.107628818, 404458.7416400863 4763639.744389609, 404458.6771629832 4763641.342542225, 404564.9196994734 4763650.663771873, 404564.984188224 4763649.065209934))",21751.263758109675,0.008821320488999213
9,Onondaga Park,79.10827198840315,Strathmore,2465760.0,2465760.5157,"POLYGON ((405110.5361883444 4764618.24062815, 405110.5361635831 4764618.240567912, 405110.1310272121 4764617.254950269, 405107.3355967055 4764610.454371878, 405107.3356629673 4764610.454375161, 405107.3356451893 4764610.45433191, 405113.8792036058 4764610.778535711, 405130.935870636 4764574.658973104, 405188.6500196075 4764425.566501983, 405190.1236072654 4764387.54899597, 405190.3516906909 4764381.664895752, 405190.6311196506 4764374.455283261, 405191.1148643516 4764361.976541484, 405191.1387018538 4764361.361581835, 405191.6408309866 4764348.40670678, 405192.1483796189 4764335.312999817, 405192.6559258366 4764322.219253028, 405191.799136638 4764322.223651445, 405191.6063713472 4764322.224645883, 405189.94110173 4764322.233290789, 405173.2166918091 4764322.320160862, 405148.6970103078 4764322.447354589, 405111.9176872291 4764322.638291372, 405088.066193733 4764322.761987031, 405090.6433433016 4764297.677570735, 405094.0887004312 4764264.141969266, 405095.7511960837 4764250.383506868, 405096.2824128789 4764245.98710932, 405100.3357419997 4764206.579196557, 405100.8053362658 4764206.627463233, 405101.8483802177 4764206.734667411, 405105.9669384855 4764166.718354744, 405105.976723586 4764166.635256177, 405108.1053305805 4764148.557807997, 405112.7621970859 4764110.437678569, 405114.2405890695 4764098.336099562, 405115.2630589059 4764089.966473732, 405115.7189669471 4764086.23438238, 405116.1262576446 4764082.900550115, 405116.767276088 4764077.653302236, 405114.0120070585 4764077.644854419, 405089.6303981226 4764077.570035864, 405076.755438101 4764077.530543763, 405070.936609539 4764077.512688974, 405027.0485706664 4764077.378084426, 405027.0347906259 4764077.377978474, 405021.6370131926 4764077.361442886, 405021.6374755769 4764077.336479668, 405011.8051007482 4764077.260880631, 404971.5609359208 4764076.998731045, 404930.4019136844 4764076.730829682, 404915.1527770042 4764076.764126493, 404916.4651838344 4764043.025241006, 404879.434000289 4764042.476122941, 404868.0046058033 4764042.30671146, 404856.5753127503 4764042.137398041, 404845.1461154725 4764041.967882803, 404833.716719753 4764041.798471282, 404822.2873217337 4764041.628959784, 404810.858025149 4764041.459546349, 404799.4286263089 4764041.290034825, 404787.9993288985 4764041.12062136, 404776.569933003 4764040.951309729, 404774.2464241784 4764040.916816867, 404778.5357736847 4764048.268655869, 404770.1953991815 4764076.449378354, 404755.5796930963 4764076.205643683, 404753.5888333779 4764125.007839274, 404687.103092416 4764303.073795185, 404611.1186733423 4764441.642472316, 404609.4305288508 4764463.734834289, 404589.783864639 4764499.563360238, 404607.7921242267 4764510.400794283, 404628.4479927815 4764511.239400028, 404644.2807579276 4764511.8821518, 404659.5076954471 4764512.500327191, 404710.0478274484 4764514.552023751, 404706.351437912 4764570.980686321, 404767.7780998536 4764571.223679867, 404781.6208727312 4764570.815991214, 404795.4372894565 4764569.869620987, 404809.2062795451 4764568.386066478, 404822.9071855371 4764566.367517161, 404836.5190670768 4764563.817067815, 404849.9146135384 4764561.417891607, 404863.4217918809 4764559.757981167, 404876.9997020879 4764558.842507368, 404890.6072951872 4764558.674043982, 404904.2037844118 4764559.253159926, 404917.7478398569 4764560.578134441, 404931.1986880362 4764562.644936379, 404939.5192937582 4764564.560274682, 404947.6274439693 4764567.235688076, 404955.453916937 4764570.648582595, 404962.9316636892 4764574.769623581, 404969.997024501 4764579.563612729, 404976.5894327703 4764584.989693647, 404987.3221709232 4764594.180356051, 404998.5310142757 4764602.784164578, 405010.1837972177 4764610.776326743, 405022.2471923406 4764618.134071898, 405034.6867028893 4764624.836251377, 405030.2055375981 4764643.438389665, 405026.389818309 4764662.188275351, 405023.244298113 4764681.062219658, 405020.7731246979 4764700.036245236, 405018.9793424263 4764719.086195544, 405017.8651978725 4764738.188029078, 405066.574960087 4764740.312295599, 405095.8419573955 4764741.588670049, 405110.5361883444 4764618.24062815))",242887.06770604505,0.09850391640207294
10,Frazer Park,5.691866084513764,Park Ave.,1598390.0,1598388.88115,"POLYGON ((404385.3208386087 4767254.105598794, 404382.3149499042 4767189.809667636, 404422.4971108465 4767187.949375252, 404422.0220773705 4767177.751928563, 404421.5611821201 4767167.858703442, 404421.0933191394 4767157.813415587, 404420.6252546797 4767147.76803151, 404420.1572905008 4767137.72264552, 404419.6892266847 4767127.677261383, 404419.2213631065 4767117.631873446, 404418.7534017783 4767107.586587325, 404418.200191361 4767095.714779546, 404417.7323306936 4767085.669491475, 404416.9375639985 4767068.609239805, 404376.7716327343 4767070.77329926, 404344.5053186283 4767072.284375049, 404346.3654750121 4767112.466249404, 404336.6246483743 4767112.917172871, 404300.5328297568 4767114.612606335, 404282.9131243185 4767155.738200357, 404273.7983153163 4767176.299651599, 404254.5545516757 4767217.469885991, 404247.510387333 4767227.866967392, 404241.8875862407 4767238.197540125, 404236.9157381288 4767249.412900512, 404224.9364939522 4767267.583281178, 404385.3208386087 4767254.105598794))",23034.18518277537,0.014410876761231511
