NAME,tab_share
Brighton,0.047659243085138844
Court-Woodlawn,0.02237036243028855
Downtown,0.0
Eastwood,0.052338519792304666
Elmwood,0.15246621114959713
Far Westside,0.0
Franklin Square,0.0
Hawley-Green,0.0
Lakefront,0.023130081186186407
Lincoln Hill,0.0863384028678546
Meadowbrook,0.07218993869682694
Near Eastside,0.005975033669106484
Near Westside,0.0
North Valley,0.053971720964875305
Northside,0.0
Outer Comstock,0.016080703416949997
Park Ave.,0.017686812689966164
Prospect Hill,0.0
Salt Springs,0.0
Sedgwick,0.049384209355407695
Skunk City,0.010453381705026564
South Campus,0.0
South Valley,0.13899707530995795
Southside,0.09747288057132583
Southwest,0.0
Strathmore,0.14944754091485696
Tipp Hill,0.2531717498288084
University Hill,0.006102766692448921
University Neighborhood,0.08135500764636952
Washington Square,0.011683597769531486
Westcott,0.19304724566721831
Winkworth,0.0
